Horizon,Model,N_obs,Block_Length,N_Boot,RMSE_Model,RMSE_Naive,RMSE_Skill,RMSE_Skill_CI_Low,RMSE_Skill_CI_High,MAE_Model,MAE_Naive,MAE_Skill,MAE_Skill_CI_Low,MAE_Skill_CI_High
1-day,Attention-context model,540,50,1000,0.03234364025133643,0.02362873265700006,-0.368826704370645,-0.5654201031507939,-0.23269554542629808,0.023910867258957146,0.0168608584034088,-0.41812870299195626,-0.6466993070781064,-0.2824244999663153
1-day,Convolutional / DCN baseline,595,50,1000,0.02786181766324221,0.025095647376973326,-0.11022510177629452,-0.22303125770162785,-0.04403353485674064,0.020497267062440313,0.017584476000881834,-0.16564559907343313,-0.27778655079812775,-0.09536755758873754
1-day,LSTM baseline,540,50,1000,0.026785278509306162,0.02362873265700006,-0.1335892998633157,-0.2189493417683315,-0.078713684844357,0.020050384832850595,0.0168608584034088,-0.18916749984668413,-0.2854189006046821,-0.11356958205100016
1-day,Transformer,540,50,1000,0.02845047334604972,0.02362873265700006,-0.2040626028929744,-0.3999139993766639,-0.12336158653244245,0.021280331981478124,0.0168608584034088,-0.2621143877927252,-0.4841708492458453,-0.15430415946283582
3-day,Attention-context model,540,50,1000,0.05453229206204905,0.040253597928894616,-0.35471845667999236,-0.5164875034145537,-0.25908124557875173,0.04253949459332315,0.030352220571835183,-0.4015282503843207,-0.58027132117023,-0.3045361240818519
3-day,Convolutional / DCN baseline,595,50,1000,0.0484697024943897,0.041764967287970856,-0.16053490860388964,-0.28739585979639765,-0.10236517557794717,0.03743848406868452,0.031344651414055485,-0.1944137956466938,-0.3272696070569165,-0.11715598771804853
3-day,LSTM baseline,540,50,1000,0.05023374910308705,0.040253597928894616,-0.2479319039212775,-0.40501278384467226,-0.1797732114964222,0.039250919031523133,0.030352220571835183,-0.2931811344289368,-0.4430600952789426,-0.21571280904215134
3-day,Transformer,540,50,1000,0.05814167349099593,0.040253597928894616,-0.4443845142414211,-0.6585832800581686,-0.296615264148395,0.04448040460170639,0.030352220571835183,-0.46547447810066345,-0.7507085505270277,-0.2624084951612166
7-day,Attention-context model,540,50,1000,0.07846008050998184,0.05936958964492611,-0.3215533571855713,-0.4525353390492396,-0.18591543987337322,0.059782525744864534,0.04459041915569135,-0.34070338150732815,-0.5141288721018731,-0.2105361538334154
7-day,Convolutional / DCN baseline,595,50,1000,0.07369094061593445,0.06083027051892689,-0.21141892000966944,-0.32815008998376105,-0.08926899511973012,0.054812648874688855,0.04540874406686358,-0.20709458059395325,-0.34610162923490667,-0.06820615618909225
7-day,LSTM baseline,540,50,1000,0.07174864832271616,0.05936958964492611,-0.20850840896536327,-0.40904423775600485,-0.09616380499438155,0.05538411316949655,0.04459041915569135,-0.24206307583963427,-0.4638562939294896,-0.10770430636505744
7-day,Transformer,540,50,1000,0.081573960937867,0.05936958964492611,-0.3740024383819962,-0.5668434061736878,-0.2658827361312167,0.06389820292272959,0.04459041915569135,-0.43300296639113056,-0.6206607087689161,-0.3074536339604699
