Date,provider,llm_sentiment_score,llm_market_impact_score,llm_uncertainty_score,llm_adoption_score,llm_regulation_score,llm_macro_score,llm_technical_score,llm_event_type,llm_summary,llm_rationale
2022-01-25,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2022-01-26,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2022-01-27,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2022-01-28,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2022-01-29,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2022-02-25,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2022-02-26,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2022-02-27,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2022-02-28,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2022-03-29,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2022-03-30,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2022-04-25,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2022-04-26,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2022-04-27,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2022-04-28,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2022-04-29,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2022-05-24,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2022-05-25,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2022-05-26,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2022-05-27,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2022-05-28,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2022-05-29,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2022-06-23,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2022-06-24,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2022-06-25,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2022-06-26,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2022-06-27,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2022-06-28,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2022-07-21,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2022-07-22,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2022-07-23,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2022-07-24,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2022-07-25,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2022-07-26,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2022-07-27,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2022-07-28,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2022-08-22,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2022-08-23,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2022-08-24,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2022-08-25,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2022-08-26,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2022-08-27,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2022-09-20,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2022-09-21,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2022-09-22,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2022-09-23,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2022-09-24,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2022-09-25,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2022-09-26,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2022-10-21,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2022-10-22,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2022-10-23,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2022-10-24,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2022-10-25,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2022-10-26,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2022-11-22,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2022-11-23,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2022-11-24,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2022-11-25,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2022-12-20,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2022-12-21,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2022-12-22,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2022-12-23,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2022-12-24,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2022-12-25,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2023-01-19,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2023-01-20,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2023-01-21,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2023-01-22,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2023-01-23,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2023-01-24,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2023-02-17,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2023-02-18,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2023-02-19,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2023-02-20,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2023-02-21,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2023-02-22,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2023-02-23,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2023-03-21,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2023-03-22,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2023-03-23,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2023-03-24,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2023-03-25,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2023-04-17,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2023-04-18,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2023-04-19,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2023-04-20,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2023-04-21,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2023-04-22,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2023-04-23,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2023-04-24,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2023-05-17,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2023-05-18,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2023-05-19,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2023-05-20,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2023-05-21,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2023-05-22,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2023-05-23,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2023-05-24,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2023-06-19,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2023-06-20,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2023-06-21,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2023-06-22,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2023-06-23,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2023-07-16,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2023-07-17,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2023-07-18,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2023-07-19,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2023-07-20,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2023-07-21,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2023-07-22,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2023-07-23,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2023-08-17,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2023-08-18,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2023-08-19,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2023-08-20,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2023-08-21,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2023-08-22,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2023-09-17,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2023-09-18,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2023-09-19,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2023-09-20,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2023-09-21,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2023-10-17,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2023-10-18,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2023-10-19,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2023-10-20,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2023-10-21,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2023-11-16,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2023-11-17,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2023-11-18,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2023-11-19,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2023-11-20,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2023-12-14,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2023-12-15,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2023-12-16,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2023-12-17,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2023-12-18,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2023-12-19,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2023-12-20,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2024-01-16,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2024-01-17,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2024-01-18,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2024-01-19,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2024-02-13,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2024-02-14,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2024-02-15,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2024-02-16,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2024-02-17,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2024-02-18,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2024-03-14,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2024-03-15,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2024-03-16,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2024-03-17,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2024-03-18,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2024-03-19,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2024-04-12,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2024-04-13,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2024-04-14,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2024-04-15,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2024-04-16,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2024-04-17,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2024-04-18,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2024-05-11,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2024-05-12,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2024-05-13,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2024-05-14,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2024-05-15,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2024-05-16,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2024-05-17,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2024-05-18,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2024-06-10,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2024-06-11,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2024-06-12,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2024-06-13,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2024-06-14,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2024-06-15,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2024-06-16,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2024-06-17,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2024-07-11,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2024-07-12,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2024-07-13,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2024-07-14,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2024-07-15,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2024-07-16,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2024-07-17,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2024-08-09,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2024-08-10,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2024-08-11,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2024-08-12,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2024-08-13,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2024-08-14,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2024-08-15,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2024-08-16,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2024-09-09,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2024-09-10,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2024-09-11,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2024-09-12,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2024-09-13,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2024-09-14,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2024-09-15,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2024-10-08,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2024-10-09,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2024-10-10,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2024-10-11,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2024-10-12,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2024-10-13,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2024-10-14,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2024-10-15,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2024-11-11,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2024-11-12,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2024-11-13,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2024-11-14,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2024-12-09,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2024-12-10,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2024-12-11,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2024-12-12,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2024-12-13,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2024-12-14,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2025-01-07,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2025-01-08,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2025-01-09,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2025-01-10,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2025-01-11,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2025-01-12,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2025-01-13,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2025-02-05,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2025-02-06,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2025-02-07,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2025-02-08,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2025-02-09,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2025-02-10,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2025-02-11,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2025-02-12,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2025-03-07,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2025-03-08,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2025-03-09,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2025-03-10,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2025-03-11,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2025-03-12,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2025-03-13,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2025-03-14,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2025-04-06,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2025-04-07,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2025-04-08,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2025-04-09,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2025-04-10,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2025-04-11,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2025-04-12,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2025-04-13,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2025-05-07,claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
