Date,provider,llm_sentiment_score,llm_market_impact_score,llm_uncertainty_score,llm_adoption_score,llm_regulation_score,llm_macro_score,llm_technical_score,llm_event_type,llm_summary,llm_rationale
2022-01-25,openai,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2022-01-26,openai,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2022-01-27,openai,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2022-01-28,openai,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2022-01-29,openai,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2022-02-25,openai,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2022-02-26,openai,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2022-02-27,openai,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2022-02-28,openai,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2022-03-29,openai,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2022-03-30,openai,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2022-04-25,openai,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2022-04-26,openai,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2022-04-27,openai,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2022-04-28,openai,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2022-04-29,openai,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2022-05-24,openai,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2022-05-25,openai,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2022-05-26,openai,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2022-05-27,openai,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2022-05-28,openai,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2022-05-29,openai,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2022-06-23,openai,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
2022-06-24,openai,0.0,0.0,1.0,0.0,0.0,0.0,0.0,other,,
