Horizon,Model,Fold,RMSE_Diff,MAE_Diff
1-day,Attention-context model,1,0.007619569695548521,0.005922361775696227
1-day,Attention-context model,2,0.013562807499939357,0.008839777819131922
1-day,Attention-context model,3,0.008128760510734214,0.007004962927771037
1-day,Attention-context model,4,0.007173394683723352,0.0056787318758624444
1-day,Attention-context model,5,0.006423103725723429,0.008481664914222503
1-day,Attention-context model,6,0.021414048989538442,0.017044106757583416
1-day,Attention-context model,7,0.0011841979575888222,0.0020162193621636928
1-day,Attention-context model,8,0.0031657069943464775,0.0016155927116936614
1-day,Attention-context model,9,0.006896636826376663,0.006846661555810207
1-day,Convolutional / DCN baseline,1,0.003112336279622187,0.0030184915599723618
1-day,Convolutional / DCN baseline,2,0.0005798337162358225,0.0016823349763095859
1-day,Convolutional / DCN baseline,3,0.011390521357360215,0.01039179261230553
1-day,Convolutional / DCN baseline,4,-0.0012737147674068902,-0.0003024596541460062
1-day,Convolutional / DCN baseline,5,0.0008375899966613747,0.00191257968156908
1-day,Convolutional / DCN baseline,6,0.006456148859970836,0.005747477595771966
1-day,Convolutional / DCN baseline,7,0.0012074588474092623,0.0012427019426468084
1-day,Convolutional / DCN baseline,8,0.002989547352875724,0.0019772702381790942
1-day,Convolutional / DCN baseline,9,0.002659570888859108,0.00219052225584164
1-day,Convolutional / DCN baseline,10,0.0005897272941483983,0.0011176001658234382
1-day,LSTM baseline,1,0.0026421841265647436,0.0026453645250254267
1-day,LSTM baseline,2,0.001594170780592305,0.0016800935583127612
1-day,LSTM baseline,3,0.007831573540161212,0.006659465661537928
1-day,LSTM baseline,4,0.0009212218061952528,0.000958069187471787
1-day,LSTM baseline,5,0.0032874519847752443,0.004930002900796662
1-day,LSTM baseline,6,0.004812493486327344,0.0042192065778355
1-day,LSTM baseline,7,0.005429583185071463,0.005065980356029466
1-day,LSTM baseline,8,0.0014429001214955536,0.0010126940411392914
1-day,LSTM baseline,9,0.0019054803195259415,0.0015348610568273122
1-day,Transformer,1,0.0019533903172122558,0.001592060409717707
1-day,Transformer,2,0.002596633202605246,0.0019036853562654221
1-day,Transformer,3,0.007932822095139212,0.007443278647492443
1-day,Transformer,4,0.004136715735930347,0.0036733282706888463
1-day,Transformer,5,0.002991407786573058,0.004688820313901051
1-day,Transformer,6,0.018383162824644292,0.016594424142285347
1-day,Transformer,7,-1.3483257360768011e-05,2.6569603257141014e-05
1-day,Transformer,8,0.0011152178716541325,0.0008999911770243597
1-day,Transformer,9,0.003338162474390633,0.002953104281991581
3-day,Attention-context model,1,0.003659119460529263,0.006468509539133353
3-day,Attention-context model,2,0.029885771298297732,0.020644669733277728
