horizon,fold,rmse_lstm,mae_lstm,rmse_naive,mae_naive,acc_lstm,f1_lstm,acc_naive,f1_naive
1d,1,0.0363174428343491,0.027157469050904055,0.030248710614972075,0.02204591599737176,0.45,0.49230769230769234,0.48333333333333334,0.0
1d,2,0.03665282407358087,0.026364257916692786,0.027442079901143508,0.01907056521362552,0.55,0.4489795918367347,0.45,0.0
1d,3,0.03424400230950891,0.030032362096255757,0.023731974328507113,0.018010539938849632,0.43333333333333335,0.32,0.4666666666666667,0.0
1d,4,0.034592320029562154,0.025787120973533677,0.0291492238087015,0.02096095236011868,0.5333333333333333,0.5483870967741935,0.5833333333333334,0.0
1d,5,0.031852341119240006,0.025375642377371117,0.024190348486159426,0.01619110889006144,0.4666666666666667,0.36,0.45,0.0
1d,6,0.031565116088284634,0.02543169428078927,0.01655562621345276,0.012328461132757632,0.4666666666666667,0.2727272727272727,0.43333333333333335,0.0
1d,7,0.016409078025235998,0.012944598749823292,0.014985876609964132,0.011370874831544763,0.55,0.4,0.55,0.0
1d,8,0.025188729493421193,0.0192905722387218,0.021961504390777053,0.01748800740596934,0.5166666666666667,0.5915492957746479,0.5,0.0
1d,9,0.02225011868599667,0.016757021619381217,0.019436333845648354,0.01428129986038086,0.5333333333333333,0.44,0.5,0.0
3d,1,0.057950408497031626,0.047562069728292494,0.05318964345265602,0.04251631474020627,0.5333333333333333,0.6111111111111112,0.5,0.0
3d,2,0.07012382819393634,0.051345844625203134,0.055084343558826514,0.04119571725839275,0.55,0.5263157894736842,0.31666666666666665,0.0
3d,3,0.05546199243320156,0.04728238963532388,0.038418880235224204,0.03170796064073982,0.45,0.1951219512195122,0.45,0.0
3d,4,0.04133449930047969,0.031989708238249,0.04003698751348285,0.028450583552458376,0.6333333333333333,0.65625,0.5666666666666667,0.0
3d,5,0.060213751723306515,0.04799478234368108,0.04039553105408562,0.029387208156245157,0.4,0.35714285714285715,0.31666666666666665,0.0
3d,6,0.06279277573382547,0.04744469311580531,0.02763369320007658,0.02065379809414969,0.4666666666666667,0.1111111111111111,0.4666666666666667,0.0
3d,7,0.02612426020233178,0.021590875938598476,0.02299674340728317,0.01912472080785367,0.5333333333333333,0.44,0.45,0.0
3d,8,0.04977792379582786,0.04135869730034174,0.04036444511718945,0.03405465938617488,0.4666666666666667,0.5,0.5833333333333334,0.0
3d,9,0.03915547390225715,0.03248239204898868,0.03297297296882167,0.026079022510296448,0.43333333333333335,0.41379310344827586,0.4666666666666667,0.0
7d,1,0.09627850602527067,0.07616276339847709,0.07265768240196784,0.05929359063016463,0.48333333333333334,0.5974025974025974,0.48333333333333334,0.0
7d,2,0.09373961953938524,0.0664359329698499,0.09324083731893384,0.06752109517239109,0.5333333333333333,0.6585365853658537,0.2833333333333333,0.0
7d,3,0.07930617350409556,0.06636641360023707,0.049957301202261536,0.040283958089603014,0.3333333333333333,0.2,0.4166666666666667,0.0
7d,4,0.05070591464743911,0.04221322066596372,0.054082881268763025,0.03966137020837991,0.6,0.5555555555555556,0.6166666666666667,0.0
7d,5,0.06917753214829035,0.052961787471720104,0.05802074363680722,0.04573115956637592,0.55,0.5970149253731343,0.25,0.0
7d,6,0.055399178498357675,0.044944222507664264,0.03891648277247503,0.03001503706256682,0.4166666666666667,0.2222222222222222,0.4,0.0
7d,7,0.031544748068235096,0.02605464417386483,0.033580091675743905,0.02722292160425135,0.6333333333333333,0.47619047619047616,0.5166666666666667,0.0
7d,8,0.09071989014825531,0.0761162189546846,0.06893257921536863,0.05966587902030831,0.43333333333333335,0.45161290322580644,0.6833333333333333,0.0
7d,9,0.06310999854142967,0.056991726625268975,0.03960844187763132,0.03191876104718154,0.43333333333333335,0.0,0.43333333333333335,0.0
