Fold,Train_End_Index,Test_Start_Index,Test_End_Index,n,rmse,mae,f1,accuracy,naive_n,naive_rmse,naive_mae,naive_f1,naive_accuracy,Horizon,Feature_Set,Feature_Count
1,892,892,952,60,0.06591608694903753,0.05356493573266418,0.6031746031746031,0.5833333333333334,60,0.030248710614972075,0.02204591599737176,0.0,0.48333333333333334,1,market_only,61
2,952,952,1012,60,0.05669809877547154,0.045604006771232976,0.5333333333333333,0.5333333333333333,60,0.027442079901143508,0.01907056521362552,0.0,0.45,1,market_only,61
3,1012,1012,1072,60,0.07869445510013667,0.06422622098062773,0.5416666666666666,0.6333333333333333,60,0.023731974328507113,0.018010539938849632,0.0,0.4666666666666667,1,market_only,61
4,1072,1072,1132,60,0.07230394564911678,0.05730269756759729,0.4827586206896552,0.5,60,0.0291492238087015,0.02096095236011868,0.0,0.5833333333333334,1,market_only,61
5,1132,1132,1192,60,0.05483846861003694,0.04408293567272082,0.5454545454545454,0.5833333333333334,60,0.024190348486159426,0.01619110889006144,0.0,0.45,1,market_only,61
6,1192,1192,1252,60,0.05877788918885034,0.046726657549178666,0.25,0.5,60,0.01655562621345276,0.012328461132757632,0.0,0.43333333333333335,1,market_only,61
7,1252,1252,1312,60,0.04806203966019433,0.03946857165304923,0.49056603773584906,0.55,60,0.014985876609964132,0.011370874831544763,0.0,0.55,1,market_only,61
8,1312,1312,1372,60,0.04097760394815095,0.03483403263691945,0.38596491228070173,0.4166666666666667,60,0.021961504390777053,0.01748800740596934,0.0,0.5,1,market_only,61
9,1372,1372,1432,60,0.033112557082393045,0.026550870477287266,0.509090909090909,0.55,60,0.019436333845648354,0.01428129986038086,0.0,0.5,1,market_only,61
10,1432,1432,1487,55,0.050539642689499224,0.04030276662253846,0.43636363636363634,0.43636363636363634,55,0.03649029076829718,0.024689085517175347,0.0,0.6181818181818182,1,market_only,61
1,892,892,952,60,0.05949718910677886,0.04279128740734291,0.6470588235294118,0.6,60,0.030248710614972075,0.02204591599737176,0.0,0.48333333333333334,1,market_plus_google_trends,78
2,952,952,1012,60,0.05885593452764668,0.04828415669695588,0.41379310344827586,0.43333333333333335,60,0.027442079901143508,0.01907056521362552,0.0,0.45,1,market_plus_google_trends,78
3,1012,1012,1072,60,0.12525331796783645,0.1074882411073104,0.37209302325581395,0.55,60,0.023731974328507113,0.018010539938849632,0.0,0.4666666666666667,1,market_plus_google_trends,78
4,1072,1072,1132,60,0.09017019005676284,0.07577729851294449,0.4857142857142857,0.4,60,0.0291492238087015,0.02096095236011868,0.0,0.5833333333333334,1,market_plus_google_trends,78
5,1132,1132,1192,60,0.06419274862865888,0.04792703820672622,0.5,0.5333333333333333,60,0.024190348486159426,0.01619110889006144,0.0,0.45,1,market_plus_google_trends,78
6,1192,1192,1252,60,0.059479570436182086,0.048073645868344825,0.4745762711864407,0.48333333333333334,60,0.01655562621345276,0.012328461132757632,0.0,0.43333333333333335,1,market_plus_google_trends,78
7,1252,1252,1312,60,0.055765430387120604,0.04199822848302915,0.49056603773584906,0.55,60,0.014985876609964132,0.011370874831544763,0.0,0.55,1,market_plus_google_trends,78
8,1312,1312,1372,60,0.04738572846643228,0.03883323495167436,0.4,0.45,60,0.021961504390777053,0.01748800740596934,0.0,0.5,1,market_plus_google_trends,78
9,1372,1372,1432,60,0.03642019985432928,0.02944756763414915,0.6101694915254238,0.6166666666666667,60,0.019436333845648354,0.01428129986038086,0.0,0.5,1,market_plus_google_trends,78
10,1432,1432,1487,55,0.056658883488472714,0.04422350593951257,0.5161290322580645,0.45454545454545453,55,0.03649029076829718,0.024689085517175347,0.0,0.6181818181818182,1,market_plus_google_trends,78
1,892,892,952,60,0.05476835624504874,0.04515600957899432,0.6666666666666666,0.6166666666666667,60,0.030248710614972075,0.02204591599737176,0.0,0.48333333333333334,1,market_plus_llm_news,158
