Horizon,Feature_Set,Feature_Count,n,rmse,mae,f1,accuracy,naive_rmse,naive_mae,rmse_skill_pct,mae_skill_pct,Sequence_Length,Initial_Train_Ratio,Test_Window,Gap,Model,Input_File
1,market_only,61,595,0.05757218044758571,0.04530808051548953,0.4852941176470588,0.5294117647058824,0.025095647497897666,0.01758447603577382,-129.41101819512207,-157.65954256080684,30,0.6,60,0,Ridge(alpha=1.0) on flattened lookback sequence,data/processed/btc_final_features_with_llm_weighted_ensemble.parquet
1,market_plus_google_trends,78,595,0.06964919522428871,0.05255383993072577,0.4974271012006861,0.507563025210084,0.025095647497897666,0.01758447603577382,-177.5349599173459,-198.8649751281207,30,0.6,60,0,Ridge(alpha=1.0) on flattened lookback sequence,data/processed/btc_final_features_with_llm_weighted_ensemble.parquet
1,market_plus_llm_news,158,595,0.06391890283280856,0.04988648686838725,0.5445378151260504,0.5445378151260504,0.025095647497897666,0.01758447603577382,-154.7011502220185,-183.69618046564648,30,0.6,60,0,Ridge(alpha=1.0) on flattened lookback sequence,data/processed/btc_final_features_with_llm_weighted_ensemble.parquet
1,external_only_trends_llm,113,595,0.03344386099464111,0.025370166442007642,0.4868421052631579,0.4756302521008403,0.025095647497897666,0.01758447603577382,-33.26558319502535,-44.27593060148411,30,0.6,60,0,Ridge(alpha=1.0) on flattened lookback sequence,data/processed/btc_final_features_with_llm_weighted_ensemble.parquet
1,all_modalities,174,595,0.06900802223223104,0.053126130876085725,0.5100671140939598,0.5092436974789916,0.025095647497897666,0.01758447603577382,-174.98004280627563,-202.1194988580043,30,0.6,60,0,Ridge(alpha=1.0) on flattened lookback sequence,data/processed/btc_final_features_with_llm_weighted_ensemble.parquet
3,market_only,61,595,0.10551476995500135,0.08318919934217801,0.4489051094890511,0.492436974789916,0.04176496746890669,0.03134465149702717,-152.63941611724064,-165.40157688487284,30,0.6,60,0,Ridge(alpha=1.0) on flattened lookback sequence,data/processed/btc_final_features_with_llm_weighted_ensemble.parquet
3,market_plus_google_trends,78,595,0.1116871370353492,0.08739247092070426,0.5451612903225806,0.5260504201680672,0.04176496746890669,0.03134465149702717,-167.41823064629077,-178.8114295320618,30,0.6,60,0,Ridge(alpha=1.0) on flattened lookback sequence,data/processed/btc_final_features_with_llm_weighted_ensemble.parquet
3,market_plus_llm_news,158,595,0.11142346985779175,0.08832463571044744,0.5230263157894737,0.5126050420168067,0.04176496746890669,0.03134465149702717,-166.78691882316113,-181.78534930855568,30,0.6,60,0,Ridge(alpha=1.0) on flattened lookback sequence,data/processed/btc_final_features_with_llm_weighted_ensemble.parquet
3,external_only_trends_llm,113,595,0.06352111733888037,0.048268705537422255,0.5368098159509203,0.492436974789916,0.04176496746890669,0.03134465149702717,-52.091863560460716,-53.993435026706926,30,0.6,60,0,Ridge(alpha=1.0) on flattened lookback sequence,data/processed/btc_final_features_with_llm_weighted_ensemble.parquet
3,all_modalities,174,595,0.10492201110884668,0.08364332525893718,0.5643410852713179,0.5277310924369748,0.04176496746890669,0.03134465149702717,-151.22014326231508,-166.85039157915088,30,0.6,60,0,Ridge(alpha=1.0) on flattened lookback sequence,data/processed/btc_final_features_with_llm_weighted_ensemble.parquet
7,market_only,61,595,0.17971994978282319,0.13990331215934493,0.42722117202268434,0.4907563025210084,0.060830270645817544,0.04540874404562376,-195.44492877442102,-208.09773557881087,30,0.6,60,0,Ridge(alpha=1.0) on flattened lookback sequence,data/processed/btc_final_features_with_llm_weighted_ensemble.parquet
7,market_plus_google_trends,78,595,0.18535552559765348,0.14180134588230525,0.5249169435215947,0.519327731092437,0.060830270645817544,0.04540874404562376,-204.70935544061697,-212.27762155199107,30,0.6,60,0,Ridge(alpha=1.0) on flattened lookback sequence,data/processed/btc_final_features_with_llm_weighted_ensemble.parquet
7,market_plus_llm_news,158,595,0.17998711229062223,0.13282149158091713,0.5304054054054054,0.5327731092436975,0.060830270645817544,0.04540874404562376,-195.88412213154842,-192.50201557538503,30,0.6,60,0,Ridge(alpha=1.0) on flattened lookback sequence,data/processed/btc_final_features_with_llm_weighted_ensemble.parquet
7,external_only_trends_llm,113,595,0.11028061298453615,0.07973954932455196,0.5553869499241275,0.507563025210084,0.060830270645817544,0.04540874404562376,-81.29232668820721,-75.60395249962173,30,0.6,60,0,Ridge(alpha=1.0) on flattened lookback sequence,data/processed/btc_final_features_with_llm_weighted_ensemble.parquet
7,all_modalities,174,595,0.1497485491527195,0.11420167017852628,0.5597381342062193,0.5478991596638656,0.060830270645817544,0.04540874404562376,-146.17439239194908,-151.49709065677715,30,0.6,60,0,Ridge(alpha=1.0) on flattened lookback sequence,data/processed/btc_final_features_with_llm_weighted_ensemble.parquet
